text,author,published_at,like_count,clean_text
"He should have address white male violence, because he would have saved his own life. 

These young boys are really in trouble. They need guidance. Not someone who is focused on the problems of other people. We have our own to address this. We didn't need him.",@qolspony,2025-11-16T05:44:08Z,0,address white male violence would save life young boys really trouble need guidance not someone focus problems people address need
Reaching out to his mortal enemy??!! Shows ugliness,@dmt999,2025-11-13T22:19:55Z,0,reach mortal enemy show ugliness
"Rodney King said it;... Y'all didn't listen/agree!!..... And the ""Deplorables"" comment Didn't help+!🎉",@OswaldJames-x2t,2025-11-13T15:15:25Z,0,rodney king say listen agree deplorables comment help
"Please let's call a spade a spade. The call to violence is 95% the left basic thing, driven up by the flaming rhetoric of the woke media mob, their counterparts and their assigned talking points. So, to attribute the level of hate and violence  in this country to both sides is simply a big fallacy. It is high time people owned their responsibilities. Charlie died because of all these wickedness.They almost assassinated President Trump a couple of times. How can the violence stop without remorse and retraction?",@chiomaokeke1821,2025-11-12T18:02:21Z,0,please let call spade spade call violence leave basic thing drive flame rhetoric wake media mob counterparts assign talk point attribute level hate violence country side simply big fallacy high time people own responsibilities charlie die wickedness almost assassinate president trump couple time violence stop without remorse retraction
"How could a murder have been somehow better - I think that had these two had the opportunity to debate, things would have been better. This just makes a tragic story worse.",@davidk7544,2025-11-11T05:30:01Z,0,could murder somehow better think two opportunity debate things would better make tragic story worse
Max headroom and a different version of Lennon,@scottstanley8370,2025-11-10T17:16:13Z,0,max headroom different version lennon
"Charlie didn’t have “mortal enemies”. Sending you an agreeable message was on par with his way of operating, not something out of the blue. If you knew anything about Charlie and his ideals he had no ill will against anyone, he just wanted to challenge the way people thought about the country we all live in. This is sympathy for the left propaganda. They’re taking heat for being what Charlie called them out to be.",@Starbrained,2025-11-09T22:10:45Z,0,charlie didnt mortal enemies send agreeable message par way operate not something blue know anything charlie ideals ill anyone want challenge way people think country live sympathy leave propaganda theyre take heat charlie call
"2:30 lol… this dude…. Yah buddy. Thats good for you, that you think cnn would “build his platform” 
Dude did more on his “platform” than any cnn host has ever done….period…",@angrymiddleagedude,2025-11-09T15:10:47Z,0,lol dude yah buddy thats good think cnn would build platform dude platform cnn host ever do period
"Too late, God had a plan time for you and you have never saw the good in it. Good thing is that God always gives us second chances. I bet by now you have changed bcs of the goodness from his Charlies heart and bcs of  God.",@rose_LVV,2025-11-07T20:31:35Z,0,late god plan time never saw good good thing god always give second chance bet change bcs goodness charlies heart bcs god
This house ninja does not speak for black folks.  How much is the fbi paying him???????,@therealkpeworldwide,2025-11-05T12:11:13Z,0,house ninja not speak black folks much fbi pay
