text,author,published_at,like_count
Van Jones was bending over at Diddy Parties.,@heelturnmedia,2025-11-03T17:19:44Z,1
"We all know the truth now. Van Jones has taken 100 million dollars from Bibi netanyahu, and that is a fact.",@jodymcgrady8654,2025-11-03T06:05:23Z,0
"Well, we all know about a van Jones is receiving money from Bibi Netanyahu",@jodymcgrady8654,2025-11-03T06:04:39Z,0
"Hey jeuu's if you're so innocent, why do u need billions of. Dollars for defense and paying off people... jeuu money is useless",@EwJeuu-q4g,2025-11-02T23:20:46Z,0
"How quickly the jeuu's were to switch the narrative from. ""Hey. Those jeuu's seem to be around every suspicious meeting.""",@EwJeuu-q4g,2025-11-02T23:19:51Z,0
Free speech... respect van and charlie r.i.p,@thegladdenfamily,2025-11-02T02:17:21Z,0
Good man ❤,@chaos_corella,2025-11-01T08:01:03Z,0
We don’t rock with you Van!! So we don’t care about the statement. Yes Mr. Kirk SHOULD NOT HAVE BEEN MURDERED!! His people pew pew him. This is not our fight. I hurt for those kids because they lost their father. So let see if people respect this comment.,@javun3000,2025-10-31T05:24:23Z,0
Christ is King,@SuperSikarlo,2025-10-30T08:22:16Z,0
The killer that killed the Ukrainian woman clearly stated “I killed that white girl”. Why is her race important just say I killed that girl.  That dude killed her because he thinks he has a white problem. But he has a black problem.,@Kyruk-u1v,2025-10-28T22:15:50Z,0
Bravo Van,@fullahel453,2025-10-28T19:02:19Z,0
That dude was shot not assassinated..,@jerrollhunt281,2025-10-28T15:58:32Z,0
Take notes,@kristin972,2025-10-28T15:20:35Z,0
Van Jones is a performative loser who finds a way to make most stuff about him. Nobody cares him or Charlie kirk,@UnarmedDude3163,2025-10-26T12:44:04Z,0
Thank you Van for being human and telling the truth about Charlie.,@TRUMP-ki9vn,2025-10-26T08:09:06Z,0
"It’s so crazy how republicans make jokes about democrats dying all the time, they make jokes about Travon Martin they make jokes, now two wrongs don’t make a right I’ve never made fun of Charlie Kirk and I won’t. Ppl just forget",@KjellMcLaren-z9x,2025-10-25T11:33:38Z,0
